Planet name,mass (EU),radius (EU),density (EU),g (EU),ve (EU),a (AU),Tsurf (K),Teq (K),ESIi,ESIs,ESIg
Earth,1.00,1.00,1.00,1.00,1.00,1.00,288.,254.,1.000,1.000,1.000
Mars,0.107,0.53,0.71,0.38,0.45,1.52,227.,210.,0.815,0.595,0.697
Mercury,0.0553,0.38,0.98,0.38,0.38,0.39,440.,434.,0.840,0.422,0.596
Moon,0.0123,0.27,0.60,0.17,0.21,1.00,220.,255.,0.674,0.464,0.559
Venus,0.815,0.95,0.95,0.90,0.93,0.72,730.,232.,0.979,0.201,0.444
Io,0.0150,0.29,0.64,0.18,0.23,5.20,130.,112.,0.694,0.188,0.362
Callisto,0.0180,0.38,0.33,0.13,0.22,5.20,134.,112.,0.580,0.197,0.338
Jupiter,318.,10.97,0.24,2.64,5.38,5.20,152.,110.,0.360,0.238,0.292
Ganymede,0.0248,0.41,0.35,0.15,0.25,5.20,110.,112.,0.604,0.138,0.289
Ceres,0.000159,0.08,0.36,0.03,0.05,2.77,167.,153.,0.406,0.180,0.271
Europa,0.00803,0.25,0.55,0.13,0.18,5.20,102.,112.,0.635,0.108,0.262
Vesta,4.38e-05,0.04,0.59,0.02,0.03,2.36,166.,166.,0.414,0.158,0.256
Saturn,95.2,9.14,0.12,1.14,3.23,9.54,134.,81.,0.280,0.217,0.246
Titan,0.0225,0.40,0.34,0.14,0.24,9.54,94.,83.,0.594,0.099,0.242
Pallas,3.53e-05,0.04,0.44,0.02,0.03,2.77,153.,153.,0.376,0.132,0.222
Iapetus,0.000330,0.11,0.23,0.03,0.05,9.54,130.,83.,0.372,0.120,0.211
Uranus,14.5,3.98,0.23,0.92,1.91,19.19,76.,58.,0.455,0.077,0.187
Neptune,17.1,3.87,0.30,1.14,2.11,30.07,72.,47.,0.509,0.067,0.184
Hygiea,1.00e-05,0.03,0.37,0.01,0.02,3.14,144.,144.,0.318,0.101,0.179
Dione,0.000183,0.09,0.27,0.02,0.05,9.54,87.,83.,0.374,0.050,0.137
Rhea,0.000390,0.12,0.23,0.03,0.06,9.54,76.,83.,0.376,0.040,0.123
Titania,0.000590,0.12,0.31,0.04,0.07,19.19,60.,58.,0.433,0.025,0.104
Oberon,0.000500,0.12,0.29,0.03,0.06,19.19,61.,58.,0.418,0.025,0.103
Enceladus,1.81e-05,0.04,0.31,0.01,0.02,9.54,75.,83.,0.316,0.028,0.094
Umbriel,0.000200,0.09,0.26,0.02,0.05,19.19,61.,58.,0.371,0.023,0.092
Haumea,0.000690,0.12,0.43,0.05,0.08,43.34,50.,39.,0.486,0.017,0.091
Ariel,0.000220,0.09,0.29,0.03,0.05,19.19,58.,58.,0.390,0.021,0.090
Tethys,0.000103,0.08,0.18,0.01,0.04,9.54,64.,83.,0.309,0.023,0.085
Charon,0.000250,0.09,0.29,0.03,0.05,39.48,53.,41.,0.395,0.017,0.082
Pluto,0.00220,0.18,0.37,0.07,0.11,39.48,40.,41.,0.512,0.011,0.075
Triton,0.00359,0.21,0.38,0.08,0.13,30.07,38.,46.,0.535,0.010,0.074
Mimas,6.30e-06,0.03,0.21,0.01,0.01,9.54,64.,83.,0.254,0.017,0.066
Miranda,1.10e-05,0.04,0.22,0.01,0.02,19.19,59.,58.,0.269,0.015,0.064
Varuna,6.20e-05,0.05,0.53,0.03,0.04,43.13,43.,39.,0.415,0.009,0.062
2005 QU182,0.000200,0.08,0.36,0.03,0.05,113.58,41.,24.,0.415,0.009,0.061
Quaoar,0.000170,0.08,0.35,0.03,0.05,43.60,41.,39.,0.405,0.009,0.060
2002 TC302,0.000260,0.09,0.36,0.03,0.05,55.24,38.,34.,0.422,0.008,0.057
Ixion,5.00e-05,0.05,0.38,0.02,0.03,39.68,43.,40.,0.370,0.009,0.057
Orcus,0.000100,0.08,0.24,0.02,0.04,39.42,42.,41.,0.340,0.009,0.054
Eris,0.00270,0.19,0.39,0.07,0.12,67.67,30.,31.,0.530,0.006,0.054
2005 UQ513,0.000100,0.07,0.25,0.02,0.04,43.31,41.,39.,0.344,0.008,0.053
Proteus,8.44e-06,0.03,0.23,0.01,0.02,30.07,46.,46.,0.270,0.008,0.048
2007 OR10,0.000300,0.09,0.36,0.03,0.06,55.24,30.,34.,0.429,0.004,0.043
Makemake,0.000670,0.14,0.23,0.03,0.07,45.79,30.,38.,0.399,0.005,0.043
2007 UK126,0.000100,0.07,0.30,0.02,0.04,73.74,32.,30.,0.369,0.005,0.041
Sedna,0.000500,0.12,0.29,0.03,0.06,525.86,12.,11.,0.418,0.000,0.013