Label,Sent,angle
First BBC radio broadcast,1922-11-14,62
BBC Empire Service starts,1932-12-19,82
Orson Welles' 'The War Of The Worlds' broadcast,1938-10-30,65
Outbreak of World War II,1939-09-01,84
End of World War II,1945-08-15,48
Coronation of Queen Elizabeth II,1953-06-02,57
First human spaceflight,1961-04-12,36
JFK assassination / First episode of Doctor Who,1963-11,78
Star Trek,1966-09-08,36
First human on the Moon,1969-07-20,53
Happy Days starts,1974-01-15,35
Who shot JR?,1980-11-22,51
Star Trek: The Next Generation,1987-09-28,35
First episode of Friends,1994-09-22,52
9/11 attack,2001-09-11,48
Columbia shuttle disaster,2003-02-01,30
Barack Obama inauguration,2009-01-20,46