Star,Number of known planets,Distance (light years),angle
Barnard's Star,,6.00,20
Wolf 359,,7.8,1
Sirius,,8.6,70
Epsilon Eridani,1,10.5,95
Procyon A,,11.4,30
Kapteyn's Star,2,12.8,60
Gliese 1,,14.2,10
Gliese 876,4,15.3,80
Altair,,16.7,90
HD 20794,3,19.8,72
Gliese 667C,6,23.5,90
Vega,,25.0,72
Fomalhaut,0,25.1,10
GJ 433,2,29.0,
Gl 649,2,33.7,82
Denebola,,35.9,15
Arcturus,,36.7,52
GJ 180,2,38.1,25
55 Cnc,5,40.3,69
HD 69830,3,41.1,55
HD 40307,6,41.8,45
Capella,,42.2,38
υ And,4,43.9,20
51 Pegasus,1,48.0,80
μ Ara,4,49.9,68
τ Boötis,1,50.9,35
GJ 676A,4,53.7,61
β Pictoris,1,63.4,70
Aldebaran,,65,45
BD-061339,3,65.2,80
Hamal,1,65.9,90
70 Virgo,1,71.8,63
HD 1461,2,76.3,55
Regulus,,78,46
Mizar,,78,75
Merak,,79,83
δ Velorum,,80,54
HD 39194,3,84.5,74.5
Alpheratz,,97,72