Year,Number of people born in this year with asteroids named after them
2013,2
2012,2
2011,1
2010,5
2009,2
2008,5
2007,2
2006,4
2005,2
2004,3
2003,2
2002,10
2001,12
2000,24
1999,41
1998,31
1997,48
1996,94
1995,117
1994,141
1993,174
1992,185
1991,198
1990,169
1989,194
1988,183
1987,187
1986,244
1985,242
1984,114
1983,24
1982,23
1981,28
1980,27
1979,30
1978,42
1977,44
1976,40
1975,36
1974,40
1973,45
1972,49
1971,61
1970,75
1969,58
1968,72
1967,58
1966,70
1965,103
1964,101
1963,81
1962,84
1961,102
1960,88
1959,125
1958,122
1957,103
1956,103
1955,120
1954,118
1953,86
1952,121
1951,116
1950,86
1949,115
1948,104
1947,111
1946,118
1945,97
1944,99
1943,100
1942,98
1941,92
1940,88
1939,86
1938,91
1937,77
1936,75
1935,78
1934,82
1933,86
1932,73
1931,55
1930,75
1929,67
1928,66
1927,64
1926,68
1925,62
1924,56
1923,58
1922,49
1921,57
1920,46
1919,41
1918,25
1917,38
1916,30
1915,32
1914,27
1913,35
1912,32
1911,27
1910,33
1909,34
1908,35
1907,26
1906,28
1905,25
1904,22
1903,24
1902,27
1901,17
1900,23