Altitude (km), Pressure (atm),Pressure (mbar),Temperature (K),log P,log T,Type
-1000,26643.0161225266,26996036.0861501,1937.4031432396,7.4313,3.28722,Low Ext
-900,10129.3922157824,10263606.6626415,1522.7198177924,7.0113,3.18262,Low Ext
-800,3851.0875116125,3902114.42114136,1196.7956445144,6.5913,3.07802,Low Ext
-700,1464.1426362176,1483542.52614749,940.632543159,6.1713,2.97342,Low Ext
-600,556.6515049908,564027.137431895,739.2987978401,5.7513,2.86882,Low Ext
-500,211.6329996434,214437.136888646,581.0586891373,5.3313,2.76422,Low Ext
-400,80.4606223759,81526.725622404,456.6884204443,4.9113,2.65962,Low Ext
-300,30.5902754487,30995.5965983738,358.9384639915,4.4913,2.55502,Low Ext
-200,11.6300983561,11784.1971593314,282.1109867583,4.0713,2.45042,Low Ext
-181.775,9.8717,10002.500025,269.9028,4.0001085611,2.43120739,Low
-167.539,8.6212,8735.4309,261.0916,3.9412843327,2.4167928997,Low
-153.766,7.5291,7628.860575,252.292,3.8824596778,2.4019034796,Low
-140.456,6.5754,6662.52405,243.5434,3.8236387897,2.3865763647,Mid
-127.605,5.7424,5818.4868,234.8647,3.7648100534,2.3708177475,Mid
-115.214,5.015,5081.44875,226.2506,3.7059875498,2.3545897396,Mid
-103.279,4.3798,4437.83235,217.6535,3.6471708917,2.3377656553,Mid
-91.8,3.825,3875.68125,209.1022,3.5883480519,2.3203586021,Mid
-80.769,3.3404,3384.6603,200.6813,3.5295150874,2.3025069057,Mid
-70.187,2.9173,2955.954225,192.3708,3.4706977044,2.2841391511,Mid
-60.04,2.5477,2581.457025,184.2567,3.4118648995,2.2654232888,Mid
-50.322,2.225,2254.48125,176.4229,3.3530466277,2.2465549566,Mid
-41.016,1.9432,1968.9474,168.8441,3.2942341142,2.2274858895,Mid
-32.1,1.697,1719.48525,161.6641,3.2353984547,2.2086135888,Mid
-23.558,1.482,1501.6365,154.9176,3.1765648161,2.1901007602,Mid
-15.373,1.2943,1311.449475,148.4358,3.1177515636,2.1715386575,Mid
-7.528,1.1304,1145.3778,142.2465,3.0589487613,2.1530415893,Mid
0,0.98717,1000.2500025,136.4346,3.0001085611,2.134924522,Mid
7.224,0.86212,873.54309,130.9965,2.9412843327,2.1172596922,Mid
14.165,0.75291,762.8860575,125.8646,2.8824596778,2.0999036,Mid
20.842,0.65754,666.252405,121.1568,2.8236387897,2.0833477942,Mid
27.272,0.57424,581.84868,116.6748,2.7648100534,2.0669770651,Mid
33.468,0.5015,508.144875,112.4445,2.7059875498,2.0509382176,Mid
39.446,0.43798,443.783235,108.5619,2.6471708917,2.0356774355,Mid
45.224,0.3825,387.568125,105.0018,2.5883480519,2.0211967441,Mid
50.826,0.33404,338.46603,101.9534,2.5295150874,2.0084017135,Mid
56.273,0.29173,295.5954225,99.3228,2.4706977044,1.9970489542,Mid
61.592,0.25477,258.1457025,97.1009,2.4118648995,1.9872232553,Mid
66.8,0.2225,225.448125,95.2276,2.3530466277,1.978762839,Mid
71.916,0.19432,196.89474,93.6627,2.2942341142,1.971566673,Mid
76.961,0.1697,171.948525,92.5148,2.2353984547,1.9662112143,Mid
81.952,0.1482,150.16365,91.6369,2.1765648161,1.9620703889,Mid
86.899,0.12943,131.1449475,90.9337,2.1177515636,1.9587248624,Mid
91.813,0.11304,114.53778,90.4015,2.0589487613,1.9561756366,Mid
96.707,0.098717,100.02500025,90.0308,2.0001085611,1.9543911092,Mid
101.585,0.086212,87.354309,89.806,1.9412843327,1.9533053531,Mid
106.455,0.075291,76.28860575,89.7205,1.8824596778,1.9528916852,Mid
111.323,0.065754,66.6252405,89.7186,1.8236387897,1.9528824881,Mid
116.197,0.057424,58.184868,89.8717,1.7648100534,1.9536229568,Mid
121.085,0.05015,50.8144875,90.2078,1.7059875498,1.9552440913,Mid
125.996,0.043798,44.3783235,90.7132,1.6471708917,1.9576704874,Mid
130.94,0.03825,38.7568125,91.3673,1.5883480519,1.9607907912,Mid
135.927,0.033404,33.846603,92.2314,1.5295150874,1.9648788009,Mid
140.971,0.029173,29.55954225,93.4806,1.4706977044,1.9707214912,Mid
146.093,0.025477,25.81457025,94.9706,1.4118648995,1.9775891818,Mid
151.302,0.02225,22.5448125,96.7295,1.3530466277,1.9855589429,Mid
156.613,0.019432,19.689474,98.7033,1.2942341142,1.9943316729,Mid
162.039,0.01697,17.1948525,100.818,1.2353984547,2.0035380778,Mid
167.589,0.01482,15.016365,103.2057,1.1765648161,2.0137036838,Mid
173.278,0.012943,13.11449475,105.9667,1.1177515636,2.0251694098,Mid
179.123,0.011304,11.453778,108.9501,1.0589487613,2.0372276332,Mid
185.139,0.0098717,10.002500025,112.0288,1.0001085611,2.049329684,Mid
191.322,0.0086212,8.7354309,115.0892,0.9412843327,2.0610345712,Mid
197.67,0.0075291,7.628860575,118.0638,0.8824596778,2.0721167573,Mid
204.182,0.0065754,6.66252405,121.0353,0.8236387897,2.082912051,Mid
210.859,0.0057424,5.8184868,124.0081,0.7648100534,2.0934500535,Mid
217.696,0.005015,5.08144875,126.8735,0.7059875498,2.1033709207,Mid
224.682,0.0043798,4.43783235,129.4283,0.6471708917,2.1120292469,Mid
231.799,0.003825,3.87568125,131.5935,0.5883480519,2.119234438,Mid
239.029,0.0033404,3.3846603,133.416,0.5295150874,2.1252079158,Mid
246.352,0.0029173,2.955954225,134.9904,0.4706977044,2.1303028842,Mid
253.758,0.0025477,2.581457025,136.3306,0.4118648995,2.1345933461,Mid
261.233,0.002225,2.25448125,137.4841,0.3530466277,2.138252475,Mid
268.767,0.0019432,1.9689474,138.4351,0.2942341142,2.1412462188,Mid
276.353,0.001697,1.71948525,139.2059,0.2353984547,2.1436576425,Mid
283.98,0.001482,1.5016365,139.842,0.1765648161,2.1456376266,Mid
291.637,0.0012943,1.311449475,140.2917,0.1177515636,2.1470319779,Mid
299.317,0.0011304,1.1453778,140.6588,0.0589487613,2.148166908,High
307.022,0.00098717,1.0002500025,140.9623,0.0001085611,2.1491029773,High
314.744,0.00086212,0.87354309,141.2366,-0.0587156673,2.1499472542,High
322.484,0.00075291,0.7628860575,141.509,-0.1175403222,2.150784062,High
330.24,0.00065754,0.666252405,141.7955,-0.1763612103,2.1516624484,High
338.017,0.00057424,0.58184868,142.1241,-0.2351899466,2.1526677275,High
345.813,0.0005015,0.508144875,142.4112,-0.2940124502,2.153544146,High
353.624,0.00043798,0.443783235,142.6272,-0.3528291083,2.1542023564,High
361.449,0.0003825,0.387568125,142.7753,-0.4116519481,2.1546530814,High
369.285,0.00033404,0.33846603,142.881,-0.4704849126,2.1549744811,High
377.126,0.00029173,0.2955954225,142.9759,-0.5293022956,2.155262839,High
384.976,0.00025477,0.2581457025,143.0277,-0.5881351005,2.1554201549,High
392.831,0.0002225,0.225448125,143.1182,-0.6469533723,2.1556948655,High
400.694,0.00019432,0.19689474,143.26,-0.7057658858,2.1561249468,High
408.572,0.0001697,0.171948525,143.4583,-0.7646015453,2.1567256801,High
416.465,0.0001482,0.15016365,143.717,-0.8234351839,2.157508143,High
424.374,0.00012943,0.1311449475,144.0381,-0.8822484364,2.158477384,High
432.303,0.00011304,0.11453778,144.4076,-0.9410512387,2.1595900502,High
440.261,0.000098717,0.1000250003,144.8279,-0.9998914389,2.1608522335,High
448.244,0.000086212,0.087354309,145.2986,-1.0587156673,2.1622614297,High
456.257,0.000075291,0.0762886058,145.7921,-1.1175403222,2.1637339916,High
464.299,0.000065754,0.0666252405,146.2835,-1.1763612103,2.1651953428,High
472.371,0.000057424,0.058184868,146.7659,-1.2351899466,2.1666251621,High
480.474,0.00005015,0.0508144875,147.3178,-1.2940124502,2.1682552246,High
488.608,0.000043798,0.0443783235,147.8112,-1.3528291083,2.1697073428,High
496.773,0.00003825,0.0387568125,148.3198,-1.4116519481,2.1711991312,High
504.971,0.000033404,0.033846603,148.8394,-1.4704849126,2.1727179106,High
513.198,0.000029173,0.0295595423,149.3547,-1.5293022956,2.1742188938,High
521.457,0.000025477,0.0258145703,149.8608,-1.5881351005,2.1756880467,High
529.746,0.00002225,0.0225448125,150.3647,-1.6469533723,2.1771458921,High
538.063,0.000019432,0.019689474,150.8058,-1.7057658858,2.1784180448,High
546.41,0.00001697,0.0171948525,151.2334,-1.7646015453,2.179647716,High
554.782,0.00001482,0.015016365,151.6259,-1.8234351839,2.1807733917,High
563.175,0.000012943,0.0131144948,151.9715,-1.8822484364,2.1817621501,High
571.588,0.000011304,0.011453778,152.2945,-1.9410512387,2.1826842194,High
580.026,9.8717E-006,0.0100025,152.5867,-1.9998914389,2.1835166806,High
588.479,8.6212E-006,0.0087354309,152.8237,-2.0587156673,2.1841907101,High
596.948,7.5291E-006,0.0076288606,153.015,-2.1175403222,2.1847340066,High
605.428,6.5754E-006,0.0066625241,153.1698,-2.1763612103,2.1851731453,High
613.921,5.7424E-006,0.0058184868,153.2923,-2.2351899466,2.1855203404,High
622.421,0.000005015,0.0050814488,153.3803,-2.2940124502,2.1857695829,High
630.927,4.3798E-006,0.0044378324,153.4391,-2.3528291083,2.1859360425,High
639.44,0.000003825,0.0038756813,153.4525,-2.4116519481,2.1859739682,High
647.957,3.3404E-006,0.0033846603,153.4348,-2.4704849126,2.1859238716,High
656.472,2.9173E-006,0.0029559542,153.3904,-2.5293022956,2.18579818,High
664.99,2.5477E-006,0.002581457,153.3109,-2.5881351005,2.1855730331,High
673.503,0.000002225,0.0022544813,153.1748,-2.6469533723,2.1851873219,High
682.008,1.9432E-006,0.0019689474,152.9778,-2.7057658858,2.184628411,High
690.51,0.000001697,0.0017194853,152.7953,-2.7646015453,2.1841099955,High
699.003,0.000001482,0.0015016365,152.5785,-2.8234351839,2.183493341,High
707.483,1.2943E-006,0.0013114495,152.3289,-2.8822484364,2.182782306,High
715.951,1.1304E-006,0.0011453778,152.0713,-2.9410512387,2.1820472586,High
724.413,9.8717E-007,0.00100025,151.835,-2.9998914389,2.1813718938,High
800,2.88524958735523E-007,0.0002923479,154.6165576491,-3.5341,2.189256,High ext
900,5.8234907179439E-008,5.90065196995665E-005,155.9688966886,-4.2291,2.193038,High ext
1000,1.17539377843098E-008,1.19096774599519E-005,157.3330638332,-4.9241,2.19682,High ext
